phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	2510	485458	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ANOGENITAL_HERPES_SIMPLEX.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ANOGENITAL_HERPES_SIMPLEX.gz
AB1_BACTINF_NOS	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	25506	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACTINF_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACTINF_NOS.gz
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	I Certain infectious and parasitic diseases (AB1_)	3521	496827	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACT_BIR_OTHER_INF_AGENTS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACT_BIR_OTHER_INF_AGENTS.gz
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	7671	444292	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACT_INTEST_OTH.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACT_INTEST_OTH.gz
AB1_CANDIDIASIS	Candidiasis	I Certain infectious and parasitic diseases (AB1_)	5341	488977	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_CANDIDIASIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_CANDIDIASIS.gz
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	2782	485458	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_CHLAMYDIA_OTHER.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_CHLAMYDIA_OTHER.gz
AB1_CHOLERA	Cholera	I Certain infectious and parasitic diseases (AB1_)	1571	444292	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_CHOLERA.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_CHOLERA.gz
AB1_DERMATOPHYTOSIS	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	5071	488977	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_DERMATOPHYTOSIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_DERMATOPHYTOSIS.gz
AB1_EBV	Infectious mononucleosis	I Certain infectious and parasitic diseases (AB1_)	3838	486087	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_EBV.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_EBV.gz
AB1_ERYSIPELAS	Erysipelas	I Certain infectious and parasitic diseases (AB1_)	27918	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ERYSIPELAS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ERYSIPELAS.gz
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	39997	444292	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_GASTROENTERITIS_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_GASTROENTERITIS_NOS.gz
AB1_GONOCOCCAL	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)	1163	485458	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_GONOCOCCAL.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_GONOCOCCAL.gz
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	4677	480316	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HERPES_SIMPLEX.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HERPES_SIMPLEX.gz
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	56056	444292	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_INTESTINAL_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_INTESTINAL_INFECTIONS.gz
AB1_LYME	Lyme disease	I Certain infectious and parasitic diseases (AB1_)	10516	489832	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_LYME.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_LYME.gz
AB1_MYCOSES	Mycoses	I Certain infectious and parasitic diseases (AB1_)	11371	488977	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MYCOSES.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MYCOSES.gz
AB1_OTHER_BACTERIAL	Other bacterial diseases	I Certain infectious and parasitic diseases (AB1_)	61300	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_BACTERIAL.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_BACTERIAL.gz
AB1_OTHER_INFECTIONS	Other infectious diseases	I Certain infectious and parasitic diseases (AB1_)	3031	497317	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_INFECTIONS.gz
AB1_OTHER_SEPSIS	Other septicaemia	I Certain infectious and parasitic diseases (AB1_)	17133	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_SEPSIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_SEPSIS.gz
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	I Certain infectious and parasitic diseases (AB1_)	10678	489670	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_SPIROCHAETAL.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_SPIROCHAETAL.gz
AB1_OTHER_VIRAL	Other viral diseases	I Certain infectious and parasitic diseases (AB1_)	14261	486087	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_VIRAL.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_VIRAL.gz
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	I Certain infectious and parasitic diseases (AB1_)	2231	498117	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz
AB1_RESP_TUBERCU_NONCONF	Respiratory tuberculosis, not confirmed	I Certain infectious and parasitic diseases (AB1_)	1638	497285	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RESP_TUBERCU_NONCONF.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RESP_TUBERCU_NONCONF.gz
AB1_RUBELLA	Rubella [German measles]	I Certain infectious and parasitic diseases (AB1_)	1264	480316	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RUBELLA.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_RUBELLA.gz
AB1_SALMONELLA_OTH	Other salmonella infections	I Certain infectious and parasitic diseases (AB1_)	1411	444292	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SALMONELLA_OTH.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SALMONELLA_OTH.gz
AB1_SCABIES	Scabies	I Certain infectious and parasitic diseases (AB1_)	1690	498117	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SCABIES.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SCABIES.gz
